Orig Order,GeoType,Borough,GeoID,Name,NTA Type,ANH_10,ANH_20,Pop Change,Natural Change,Net Migration
189,NTA2020,Queens,QN0574,Highland Park-Cypress Hills Cemeteries (North),7,11,0,-11,0,-11
190,NTA2020,Queens,QN0601,Rego Park,0,"8,966","11,112","2,146",902,"1,244"
191,NTA2020,Queens,QN0602,Forest Hills,0,"20,233","26,029","5,796","2,893","2,903"
192,NTA2020,Queens,QN0701,College Point,0,"7,620","11,525","3,905","1,166","2,739"
193,NTA2020,Queens,QN0702,Whitestone-Beechhurst,0,"4,516","7,430","2,914",569,"2,345"
194,NTA2020,Queens,QN0703,Bay Terrace-Clearview,0,"4,446","7,217","2,771",481,"2,290"
195,NTA2020,Queens,QN0704,Murray Hill-Broadway Flushing,0,"29,284","34,762","5,478","2,545","2,933"
196,NTA2020,Queens,QN0705,East Flushing,0,"18,921","23,494","4,573","2,364","2,209"
197,NTA2020,Queens,QN0706,Queensboro Hill,0,"13,526","16,896","3,370","2,399",971
198,NTA2020,Queens,QN0707,Flushing-Willets Point,0,"44,689","54,191","9,502","5,883","3,619"
199,NTA2020,Queens,QN0761,Fort Totten,6,0,0,0,0,0
200,NTA2020,Queens,QN0791,Kissena Park,9,0,1,1,1,0
201,NTA2020,Queens,QN0801,Kew Gardens Hills,0,"6,160","9,706","3,546",881,"2,665"
202,NTA2020,Queens,QN0802,Pomonok-Electchester-Hillcrest,0,"10,310","12,061","1,751","1,086",665
203,NTA2020,Queens,QN0803,Fresh Meadows-Utopia,0,"10,105","12,319","2,214",972,"1,242"
204,NTA2020,Queens,QN0804,Jamaica Estates-Holliswood,0,"5,513","7,345","1,832",814,"1,018"
205,NTA2020,Queens,QN0805,Jamaica Hills-Briarwood,0,"13,044","16,609","3,565","1,985","1,580"
206,NTA2020,Queens,QN0871,Mount Hebron & Cedar Grove Cemeteries,7,0,0,0,0,0
207,NTA2020,Queens,QN0891,Cunningham Park,9,12,2,-10,0,-10
208,NTA2020,Queens,QN0901,Kew Gardens,0,"3,628","4,464",836,608,228
209,NTA2020,Queens,QN0902,Richmond Hill,0,"7,161","7,680",519,"1,107",-588
210,NTA2020,Queens,QN0903,South Richmond Hill,0,"8,726","9,648",922,"1,367",-445
211,NTA2020,Queens,QN0904,Ozone Park (North),0,"5,265","8,655","3,390","1,276","2,114"
212,NTA2020,Queens,QN0905,Woodhaven,0,"5,956","7,716","1,760",710,"1,050"
213,NTA2020,Queens,QN1001,South Ozone Park,0,"17,691","20,619","2,928","3,206",-278
214,NTA2020,Queens,QN1002,Ozone Park,0,"4,143","6,274","2,131",895,"1,236"
215,NTA2020,Queens,QN1003,Howard Beach-Lindenwood,0,922,"1,584",662,120,542
216,NTA2020,Queens,QN1091,Spring Creek Park,9,1,0,-1,1,-2
217,NTA2020,Queens,QN1101,Auburndale,0,"12,979","18,220","5,241","1,364","3,877"
218,NTA2020,Queens,QN1102,Bayside,0,"14,449","18,076","3,627","1,151","2,476"
219,NTA2020,Queens,QN1103,Douglaston-Little Neck,0,"8,818","11,354","2,536",694,"1,842"
220,NTA2020,Queens,QN1104,Oakland Gardens-Hollis Hills,0,"9,492","12,329","2,837",854,"1,983"
221,NTA2020,Queens,QN1191,Alley Pond Park,9,1,4,3,0,3
222,NTA2020,Queens,QN1201,Jamaica,0,"13,298","21,263","7,965","2,911","5,054"
223,NTA2020,Queens,QN1202,South Jamaica,0,"1,964","7,240","5,276",862,"4,414"
224,NTA2020,Queens,QN1203,Baisley Park,0,"1,619","3,804","2,185",684,"1,501"
225,NTA2020,Queens,QN1204,Springfield Gardens (North)-Rochdale Village,0,235,699,464,98,366
226,NTA2020,Queens,QN1205,St. Albans,0,511,"1,764","1,253",218,"1,035"
227,NTA2020,Queens,QN1206,Hollis,0,"3,458","5,426","1,968",611,"1,357"
228,NTA2020,Queens,QN1301,Glen Oaks-Floral Park-New Hyde Park,0,"7,576","10,190","2,614",849,"1,765"
229,NTA2020,Queens,QN1302,Bellerose,0,"9,821","12,942","3,121","1,295","1,826"
230,NTA2020,Queens,QN1303,Queens Village,0,"9,026","12,071","3,045","1,322","1,723"
231,NTA2020,Queens,QN1304,Cambria Heights,0,157,259,102,46,56
232,NTA2020,Queens,QN1305,Laurelton,0,167,234,67,62,5
233,NTA2020,Queens,QN1306,Springfield Gardens (South)-Brookville,0,385,613,228,115,113
234,NTA2020,Queens,QN1307,Rosedale,0,556,639,83,97,-14
235,NTA2020,Queens,QN1371,Montefiore Cemetery,7,0,0,0,0,0
236,NTA2020,Queens,QN1401,Far Rockaway-Bayswater,0,"1,017","1,401",384,141,243
237,NTA2020,Queens,QN1402,Rockaway Beach-Arverne-Edgemere,0,"1,111","1,756",645,160,485
238,NTA2020,Queens,QN1403,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,0,427,396,-31,36,-67
239,NTA2020,Queens,QN1491,Rockaway Community Park,9,0,0,0,0,0
240,NTA2020,Queens,QN8081,LaGuardia Airport,8,0,0,0,0,0
241,NTA2020,Queens,QN8191,Flushing Meadows-Corona Park,9,6,3,-3,1,-4
242,NTA2020,Queens,QN8291,Forest Park,9,9,0,-9,0,-9
243,NTA2020,Queens,QN8381,John F. Kennedy International Airport,8,0,0,0,0,0
244,NTA2020,Queens,QN8491,Jamaica Bay (East),9,0,0,0,0,0
245,NTA2020,Queens,QN8492,Jacob Riis Park-Fort Tilden-Breezy Point Tip,9,0,0,0,0,0
246,NTA2020,Staten Island,SI0101,St. George-New Brighton,0,967,"1,471",504,92,412
247,NTA2020,Staten Island,SI0102,Tompkinsville-Stapleton-Clifton-Fox Hills,0,"1,061","1,828",767,104,663
248,NTA2020,Staten Island,SI0103,Rosebank-Shore Acres-Park Hill,0,"3,415","5,627","2,212",381,"1,831"
249,NTA2020,Staten Island,SI0104,West New Brighton-Silver Lake-Grymes Hill,0,"2,126","2,975",849,227,622
250,NTA2020,Staten Island,SI0105,Westerleigh-Castleton Corners,0,"2,060","3,505","1,445",234,"1,211"
251,NTA2020,Staten Island,SI0106,Port Richmond,0,784,"1,567",783,118,665
