Orig Order,GeoType,Borough,GeoID,Name,NTA Type,Pop_10,Pop_20,Pop Change,Natural Change,Net Migration
164,NTA2020,Queens,QN0102,Old Astoria-Hallets Point,0,"16,487","18,927","2,440","1,470",970
165,NTA2020,Queens,QN0103,Astoria (Central),0,"49,873","52,220","2,347","2,788",-441
166,NTA2020,Queens,QN0104,Astoria (East)-Woodside (North),0,"39,120","38,673",-447,"2,266","-2,713"
167,NTA2020,Queens,QN0105,Queensbridge-Ravenswood-Dutch Kills,0,"26,989","32,954","5,965","1,729","4,236"
168,NTA2020,Bronx,QN0151,Rikers Island,5,"11,091","3,772","-7,319",1,"-7,320"
169,NTA2020,Queens,QN0161,Sunnyside Yards (North),6,8,27,19,0,19
170,NTA2020,Queens,QN0171,St. Michael's Cemetery,7,0,5,5,0,5
171,NTA2020,Queens,QN0191,Astoria Park,9,3,0,-3,1,-4
172,NTA2020,Queens,QN0201,Long Island City-Hunters Point,0,"10,815","32,216","21,401","3,890","17,511"
173,NTA2020,Queens,QN0202,Sunnyside,0,"52,441","52,278",-163,"3,815","-3,978"
174,NTA2020,Queens,QN0203,Woodside,0,"49,721","53,188","3,467","3,954",-487
175,NTA2020,Queens,QN0261,Sunnyside Yards (South),6,0,36,36,1,35
176,NTA2020,Queens,QN0271,Calvary & Mount Zion Cemeteries,7,27,0,-27,-1,-26
177,NTA2020,Queens,QN0301,Jackson Heights,0,"100,866","101,848",982,"7,970","-6,988"
178,NTA2020,Queens,QN0302,East Elmhurst,0,"30,436","33,573","3,137","2,958",179
179,NTA2020,Queens,QN0303,North Corona,0,"40,112","43,434","3,322","7,193","-3,871"
180,NTA2020,Queens,QN0401,Elmhurst,0,"103,494","107,864","4,370","10,465","-6,095"
181,NTA2020,Queens,QN0402,Corona,0,"69,583","73,822","4,239","8,556","-4,317"
182,NTA2020,Queens,QN0501,Maspeth,0,"39,160","43,257","4,097","1,993","2,104"
183,NTA2020,Queens,QN0502,Ridgewood,0,"66,648","66,402",-246,"6,232","-6,478"
184,NTA2020,Queens,QN0503,Glendale,0,"32,496","35,135","2,639","1,699",940
185,NTA2020,Queens,QN0504,Middle Village,0,"31,917","34,474","2,557",256,"2,301"
186,NTA2020,Queens,QN0571,Mount Olivet & All Faiths Cemeteries,7,25,3,-22,3,-25
187,NTA2020,Queens,QN0572,Middle Village Cemetery,7,19,0,-19,0,-19
188,NTA2020,Queens,QN0573,St. John Cemetery,7,0,3,3,1,2
189,NTA2020,Queens,QN0574,Highland Park-Cypress Hills Cemeteries (North),7,73,20,-53,0,-53
190,NTA2020,Queens,QN0601,Rego Park,0,"28,260","30,741","2,481","1,741",740
191,NTA2020,Queens,QN0602,Forest Hills,0,"83,728","88,965","5,237","4,986",251
