Orig Order,GeoType,Borough,GeoID,Name,NTA Type,WNH_10,WNH_20,Pop Change,Natural Change,Net Migration
182,NTA2020,Queens,QN0501,Maspeth,0,"23,798","20,731","-3,067",-151,"-2,916"
183,NTA2020,Queens,QN0502,Ridgewood,0,"26,472","26,843",371,"1,194",-823
184,NTA2020,Queens,QN0503,Glendale,0,"19,793","17,725","-2,068",7,"-2,075"
185,NTA2020,Queens,QN0504,Middle Village,0,"23,413","20,970","-2,443",-700,"-1,743"
186,NTA2020,Queens,QN0571,Mount Olivet & All Faiths Cemeteries,7,15,3,-12,1,-13
187,NTA2020,Queens,QN0572,Middle Village Cemetery,7,15,0,-15,0,-15
188,NTA2020,Queens,QN0573,St. John Cemetery,7,0,0,0,1,-1
189,NTA2020,Queens,QN0574,Highland Park-Cypress Hills Cemeteries (North),7,30,10,-20,0,-20
190,NTA2020,Queens,QN0601,Rego Park,0,"13,068","11,007","-2,061",321,"-2,382"
191,NTA2020,Queens,QN0602,Forest Hills,0,"48,822","41,572","-7,250",973,"-8,223"
192,NTA2020,Queens,QN0701,College Point,0,"10,010","7,176","-2,834",-530,"-2,304"
193,NTA2020,Queens,QN0702,Whitestone-Beechhurst,0,"18,703","15,774","-2,929",-705,"-2,224"
194,NTA2020,Queens,QN0703,Bay Terrace-Clearview,0,"14,879","12,436","-2,443","-1,169","-1,274"
195,NTA2020,Queens,QN0704,Murray Hill-Broadway Flushing,0,"15,904","11,372","-4,532","-1,492","-3,040"
196,NTA2020,Queens,QN0705,East Flushing,0,"5,694","3,502","-2,192",-549,"-1,643"
197,NTA2020,Queens,QN0706,Queensboro Hill,0,"3,597","2,181","-1,416",-352,"-1,064"
198,NTA2020,Queens,QN0707,Flushing-Willets Point,0,"4,832","3,466","-1,366","-1,072",-294
199,NTA2020,Queens,QN0761,Fort Totten,6,0,0,0,0,0
200,NTA2020,Queens,QN0791,Kissena Park,9,0,0,0,0,0
201,NTA2020,Queens,QN0801,Kew Gardens Hills,0,"19,630","17,243","-2,387","3,649","-6,036"
202,NTA2020,Queens,QN0802,Pomonok-Electchester-Hillcrest,0,"11,165","9,055","-2,110",-104,"-2,006"
203,NTA2020,Queens,QN0803,Fresh Meadows-Utopia,0,"7,171","5,970","-1,201",-142,"-1,059"
204,NTA2020,Queens,QN0804,Jamaica Estates-Holliswood,0,"6,213","5,357",-856,-180,-676
205,NTA2020,Queens,QN0805,Jamaica Hills-Briarwood,0,"8,177","6,413","-1,764",-208,"-1,556"
206,NTA2020,Queens,QN0871,Mount Hebron & Cedar Grove Cemeteries,7,0,0,0,0,0
207,NTA2020,Queens,QN0891,Cunningham Park,9,55,0,-55,1,-56
208,NTA2020,Queens,QN0901,Kew Gardens,0,"11,478","9,744","-1,734",389,"-2,123"
209,NTA2020,Queens,QN0902,Richmond Hill,0,"5,052","4,005","-1,047",-145,-902
210,NTA2020,Queens,QN0903,South Richmond Hill,0,"1,184",970,-214,-91,-123
211,NTA2020,Queens,QN0904,Ozone Park (North),0,"3,548","2,584",-964,-232,-732
212,NTA2020,Queens,QN0905,Woodhaven,0,"7,092","5,682","-1,410",-443,-967
213,NTA2020,Queens,QN1001,South Ozone Park,0,"5,213","4,091","-1,122",-406,-716
214,NTA2020,Queens,QN1002,Ozone Park,0,"6,511","4,553","-1,958",-422,"-1,536"
215,NTA2020,Queens,QN1003,Howard Beach-Lindenwood,0,"20,068","17,123","-2,945","-1,106","-1,839"
216,NTA2020,Queens,QN1091,Spring Creek Park,9,1,0,-1,0,-1
217,NTA2020,Queens,QN1101,Auburndale,0,"15,658","11,452","-4,206","-1,135","-3,071"
218,NTA2020,Queens,QN1102,Bayside,0,"15,182","11,708","-3,474",-565,"-2,909"
219,NTA2020,Queens,QN1103,Douglaston-Little Neck,0,"13,195","10,340","-2,855","-1,006","-1,849"
220,NTA2020,Queens,QN1104,Oakland Gardens-Hollis Hills,0,"10,878","8,487","-2,391",-607,"-1,784"
221,NTA2020,Queens,QN1191,Alley Pond Park,9,57,63,6,-1,7
